"STATISTIC Label","Month","Taxation Class","UNIT","VALUE"
"Vehicles Licensed for the First Time","1996 October","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","116"
"Vehicles Licensed for the First Time","1996 October","Secondhand Vehicles","Number","4988"
"Vehicles Licensed for the First Time","1996 October","Secondhand Private Cars","Number","4013"
"Vehicles Licensed for the First Time","1996 October","Secondhand Goods Vehicles","Number","382"
"Vehicles Licensed for the First Time","1996 October","Secondhand Tractors","Number","258"
"Vehicles Licensed for the First Time","1996 October","Secondhand Other Vehicles","Number","335"
"Vehicles Licensed for the First Time","1996 October","Secondhand Motor Cycles","Number",""
"Vehicles Licensed for the First Time","1996 November","All Vehicles","Number","10242"
"Vehicles Licensed for the First Time","1996 November","New Vehicles","Number","5289"
"Vehicles Licensed for the First Time","1996 November","New Private Cars","Number","3768"
"Vehicles Licensed for the First Time","1996 November","New Goods Vehicles","Number","1042"
"Vehicles Licensed for the First Time","1996 November","New Tractors","Number","146"
"Vehicles Licensed for the First Time","1996 November","New Motor Cycles","Number","151"
"Vehicles Licensed for the First Time","1996 November","New Exempt Vehicles","Number","87"
"Vehicles Licensed for the First Time","1996 November","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","95"
"Vehicles Licensed for the First Time","1996 November","Secondhand Vehicles","Number","4953"
"Vehicles Licensed for the First Time","1996 November","Secondhand Private Cars","Number","3943"
"Vehicles Licensed for the First Time","1996 November","Secondhand Goods Vehicles","Number","437"
"Vehicles Licensed for the First Time","1996 November","Secondhand Tractors","Number","266"
"Vehicles Licensed for the First Time","1996 November","Secondhand Other Vehicles","Number","307"
"Vehicles Licensed for the First Time","1996 November","Secondhand Motor Cycles","Number",""
"Vehicles Licensed for the First Time","1996 December","All Vehicles","Number","6595"
"Vehicles Licensed for the First Time","1996 December","New Vehicles","Number","2786"
"Vehicles Licensed for the First Time","1996 December","New Private Cars","Number","1946"
"Vehicles Licensed for the First Time","1996 December","New Goods Vehicles","Number","531"
"Vehicles Licensed for the First Time","1996 December","New Tractors","Number","87"
"Vehicles Licensed for the First Time","1996 December","New Motor Cycles","Number","90"
"Vehicles Licensed for the First Time","1996 December","New Exempt Vehicles","Number","75"
"Vehicles Licensed for the First Time","1996 December","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","57"
"Vehicles Licensed for the First Time","1996 December","Secondhand Vehicles","Number","3809"
"Vehicles Licensed for the First Time","1996 December","Secondhand Private Cars","Number","3022"
"Vehicles Licensed for the First Time","1996 December","Secondhand Goods Vehicles","Number","341"
"Vehicles Licensed for the First Time","1996 December","Secondhand Tractors","Number","217"
"Vehicles Licensed for the First Time","1996 December","Secondhand Other Vehicles","Number","229"
"Vehicles Licensed for the First Time","1996 December","Secondhand Motor Cycles","Number",""
"Vehicles Licensed for the First Time","1997 January","All Vehicles","Number","21856"
"Vehicles Licensed for the First Time","1997 January","New Vehicles","Number","17521"
"Vehicles Licensed for the First Time","1997 January","New Private Cars","Number","14691"
"Vehicles Licensed for the First Time","1997 January","New Goods Vehicles","Number","1979"
"Vehicles Licensed for the First Time","1997 January","New Tractors","Number","262"
"Vehicles Licensed for the First Time","1997 January","New Motor Cycles","Number","202"
"Vehicles Licensed for the First Time","1997 January","New Exempt Vehicles","Number","192"
"Vehicles Licensed for the First Time","1997 January","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","195"
"Vehicles Licensed for the First Time","1997 January","Secondhand Vehicles","Number","4335"
"Vehicles Licensed for the First Time","1997 January","Secondhand Private Cars","Number","3373"
"Vehicles Licensed for the First Time","1997 January","Secondhand Goods Vehicles","Number","420"
"Vehicles Licensed for the First Time","1997 January","Secondhand Tractors","Number","258"
"Vehicles Licensed for the First Time","1997 January","Secondhand Other Vehicles","Number","284"
"Vehicles Licensed for the First Time","1997 January","Secondhand Motor Cycles","Number",""
"Vehicles Licensed for the First Time","1997 February","All Vehicles","Number","20289"
"Vehicles Licensed for the First Time","1997 February","New Vehicles","Number","15775"
"Vehicles Licensed for the First Time","1997 February","New Private Cars","Number","12982"
"Vehicles Licensed for the First Time","1997 February","New Goods Vehicles","Number","2038"
"Vehicles Licensed for the First Time","1997 February","New Tractors","Number","168"
"Vehicles Licensed for the First Time","1997 February","New Motor Cycles","Number","210"
"Vehicles Licensed for the First Time","1997 February","New Exempt Vehicles","Number","168"
"Vehicles Licensed for the First Time","1997 February","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","209"
"Vehicles Licensed for the First Time","1997 February","Secondhand Vehicles","Number","4514"
"Vehicles Licensed for the First Time","1997 February","Secondhand Private Cars","Number","3504"
"Vehicles Licensed for the First Time","1997 February","Secondhand Goods Vehicles","Number","428"
"Vehicles Licensed for the First Time","1997 February","Secondhand Tractors","Number","237"
"Vehicles Licensed for the First Time","1997 February","Secondhand Other Vehicles","Number","345"
"Vehicles Licensed for the First Time","1997 February","Secondhand Motor Cycles","Number",""
"Vehicles Licensed for the First Time","1997 March","All Vehicles","Number","20497"
"Vehicles Licensed for the First Time","1997 March","New Vehicles","Number","15961"
"Vehicles Licensed for the First Time","1997 March","New Private Cars","Number","13548"
"Vehicles Licensed for the First Time","1997 March","New Goods Vehicles","Number","1716"
"Vehicles Licensed for the First Time","1997 March","New Tractors","Number","174"
"Vehicles Licensed for the First Time","1997 March","New Motor Cycles","Number","238"
"Vehicles Licensed for the First Time","1997 March","New Exempt Vehicles","Number","159"
"Vehicles Licensed for the First Time","1997 March","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","126"
"Vehicles Licensed for the First Time","1997 March","Secondhand Vehicles","Number","4536"
"Vehicles Licensed for the First Time","1997 March","Secondhand Private Cars","Number","3544"
"Vehicles Licensed for the First Time","1997 March","Secondhand Goods Vehicles","Number","427"
"Vehicles Licensed for the First Time","1997 March","Secondhand Tractors","Number","218"
"Vehicles Licensed for the First Time","1997 March","Secondhand Other Vehicles","Number","347"
"Vehicles Licensed for the First Time","1997 March","Secondhand Motor Cycles","Number",""
"Vehicles Licensed for the First Time","1997 April","All Vehicles","Number","22137"
"Vehicles Licensed for the First Time","1997 April","New Vehicles","Number","16953"
"Vehicles Licensed for the First Time","1997 April","New Private Cars","Number","14131"
"Vehicles Licensed for the First Time","1997 April","New Goods Vehicles","Number","1971"
"Vehicles Licensed for the First Time","1997 April","New Tractors","Number","164"
"Vehicles Licensed for the First Time","1997 April","New Motor Cycles","Number","282"
"Vehicles Licensed for the First Time","1997 April","New Exempt Vehicles","Number","225"
"Vehicles Licensed for the First Time","1997 April","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","180"
"Vehicles Licensed for the First Time","1997 April","Secondhand Vehicles","Number","5184"
"Vehicles Licensed for the First Time","1997 April","Secondhand Private Cars","Number","3969"
"Vehicles Licensed for the First Time","1997 April","Secondhand Goods Vehicles","Number","479"
"Vehicles Licensed for the First Time","1997 April","Secondhand Tractors","Number","275"
"Vehicles Licensed for the First Time","1997 April","Secondhand Other Vehicles","Number","461"
"Vehicles Licensed for the First Time","1997 April","Secondhand Motor Cycles","Number",""
"Vehicles Licensed for the First Time","1997 May","All Vehicles","Number","21954"
"Vehicles Licensed for the First Time","1997 May","New Vehicles","Number","17024"
"Vehicles Licensed for the First Time","1997 May","New Private Cars","Number","14159"
"Vehicles Licensed for the First Time","1997 May","New Goods Vehicles","Number","1927"
"Vehicles Licensed for the First Time","1997 May","New Tractors","Number","177"
"Vehicles Licensed for the First Time","1997 May","New Motor Cycles","Number","264"
"Vehicles Licensed for the First Time","1997 May","New Exempt Vehicles","Number","315"
"Vehicles Licensed for the First Time","1997 May","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","182"
"Vehicles Licensed for the First Time","1997 May","Secondhand Vehicles","Number","4930"
"Vehicles Licensed for the First Time","1997 May","Secondhand Private Cars","Number","3739"
"Vehicles Licensed for the First Time","1997 May","Secondhand Goods Vehicles","Number","420"
"Vehicles Licensed for the First Time","1997 May","Secondhand Tractors","Number","336"
"Vehicles Licensed for the First Time","1997 May","Secondhand Other Vehicles","Number","435"
"Vehicles Licensed for the First Time","1997 May","Secondhand Motor Cycles","Number",""
"Vehicles Licensed for the First Time","1997 June","All Vehicles","Number","16757"
"Vehicles Licensed for the First Time","1997 June","New Vehicles","Number","12637"
"Vehicles Licensed for the First Time","1997 June","New Private Cars","Number","10414"
"Vehicles Licensed for the First Time","1997 June","New Goods Vehicles","Number","1516"
"Vehicles Licensed for the First Time","1997 June","New Tractors","Number","152"
"Vehicles Licensed for the First Time","1997 June","New Motor Cycles","Number","219"
"Vehicles Licensed for the First Time","1997 June","New Exempt Vehicles","Number","176"
"Vehicles Licensed for the First Time","1997 June","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","160"
"Vehicles Licensed for the First Time","1997 June","Secondhand Vehicles","Number","4120"
"Vehicles Licensed for the First Time","1997 June","Secondhand Private Cars","Number","3132"
"Vehicles Licensed for the First Time","1997 June","Secondhand Goods Vehicles","Number","342"
"Vehicles Licensed for the First Time","1997 June","Secondhand Tractors","Number","294"
"Vehicles Licensed for the First Time","1997 June","Secondhand Other Vehicles","Number","352"
"Vehicles Licensed for the First Time","1997 June","Secondhand Motor Cycles","Number",""
"Vehicles Licensed for the First Time","1997 July","All Vehicles","Number","18784"
"Vehicles Licensed for the First Time","1997 July","New Vehicles","Number","14036"
"Vehicles Licensed for the First Time","1997 July","New Private Cars","Number","11420"
"Vehicles Licensed for the First Time","1997 July","New Goods Vehicles","Number","1831"
"Vehicles Licensed for the First Time","1997 July","New Tractors","Number","157"
"Vehicles Licensed for the First Time","1997 July","New Motor Cycles","Number","283"
"Vehicles Licensed for the First Time","1997 July","New Exempt Vehicles","Number","175"
"Vehicles Licensed for the First Time","1997 July","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","170"
"Vehicles Licensed for the First Time","1997 July","Secondhand Vehicles","Number","4748"
"Vehicles Licensed for the First Time","1997 July","Secondhand Private Cars","Number","3635"
"Vehicles Licensed for the First Time","1997 July","Secondhand Goods Vehicles","Number","414"
"Vehicles Licensed for the First Time","1997 July","Secondhand Tractors","Number","279"
"Vehicles Licensed for the First Time","1997 July","Secondhand Other Vehicles","Number","420"
"Vehicles Licensed for the First Time","1997 July","Secondhand Motor Cycles","Number",""
"Vehicles Licensed for the First Time","1997 August","All Vehicles","Number","14090"
"Vehicles Licensed for the First Time","1997 August","New Vehicles","Number","9886"
"Vehicles Licensed for the First Time","1997 August","New Private Cars","Number","7870"
"Vehicles Licensed for the First Time","1997 August","New Goods Vehicles","Number","1390"
"Vehicles Licensed for the First Time","1997 August","New Tractors","Number","132"
"Vehicles Licensed for the First Time","1997 August","New Motor Cycles","Number","230"
"Vehicles Licensed for the First Time","1997 August","New Exempt Vehicles","Number","158"
"Vehicles Licensed for the First Time","1997 August","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","106"
"Vehicles Licensed for the First Time","1997 August","Secondhand Vehicles","Number","4204"
"Vehicles Licensed for the First Time","1997 August","Secondhand Private Cars","Number","3289"
"Vehicles Licensed for the First Time","1997 August","Secondhand Goods Vehicles","Number","343"
"Vehicles Licensed for the First Time","1997 August","Secondhand Tractors","Number","237"
"Vehicles Licensed for the First Time","1997 August","Secondhand Other Vehicles","Number","335"
"Vehicles Licensed for the First Time","1997 August","Secondhand Motor Cycles","Number",""
"Vehicles Licensed for the First Time","1997 September","All Vehicles","Number","12807"
"Vehicles Licensed for the First Time","1997 September","New Vehicles","Number","8366"
"Vehicles Licensed for the First Time","1997 September","New Private Cars","Number","6340"
"Vehicles Licensed for the First Time","1997 September","New Goods Vehicles","Number","1369"
"Vehicles Licensed for the First Time","1997 September","New Tractors","Number","144"
"Vehicles Licensed for the First Time","1997 September","New Motor Cycles","Number","232"
"Vehicles Licensed for the First Time","1997 September","New Exempt Vehicles","Number","154"
"Vehicles Licensed for the First Time","1997 September","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","127"
"Vehicles Licensed for the First Time","1997 September","Secondhand Vehicles","Number","4441"
"Vehicles Licensed for the First Time","1997 September","Secondhand Private Cars","Number","3454"
"Vehicles Licensed for the First Time","1997 September","Secondhand Goods Vehicles","Number","377"
"Vehicles Licensed for the First Time","1997 September","Secondhand Tractors","Number","238"
"Vehicles Licensed for the First Time","1997 September","Secondhand Other Vehicles","Number","372"
"Vehicles Licensed for the First Time","1997 September","Secondhand Motor Cycles","Number",""
"Vehicles Licensed for the First Time","1997 October","All Vehicles","Number","13549"
"Vehicles Licensed for the First Time","1997 October","New Vehicles","Number","8961"
"Vehicles Licensed for the First Time","1997 October","New Private Cars","Number","6869"
"Vehicles Licensed for the First Time","1997 October","New Goods Vehicles","Number","1423"
"Vehicles Licensed for the First Time","1997 October","New Tractors","Number","143"
"Vehicles Licensed for the First Time","1997 October","New Motor Cycles","Number","240"
"Vehicles Licensed for the First Time","1997 October","New Exempt Vehicles","Number","149"
"Vehicles Licensed for the First Time","1997 October","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","137"
"Vehicles Licensed for the First Time","1997 October","Secondhand Vehicles","Number","4588"
"Vehicles Licensed for the First Time","1997 October","Secondhand Private Cars","Number","3538"
"Vehicles Licensed for the First Time","1997 October","Secondhand Goods Vehicles","Number","462"
"Vehicles Licensed for the First Time","1997 October","Secondhand Tractors","Number","235"
"Vehicles Licensed for the First Time","1997 October","Secondhand Other Vehicles","Number","353"
"Vehicles Licensed for the First Time","1997 October","Secondhand Motor Cycles","Number",""
"Vehicles Licensed for the First Time","1997 November","All Vehicles","Number","12819"
"Vehicles Licensed for the First Time","1997 November","New Vehicles","Number","8424"
"Vehicles Licensed for the First Time","1997 November","New Private Cars","Number","6777"
"Vehicles Licensed for the First Time","1997 November","New Goods Vehicles","Number","1120"
"Vehicles Licensed for the First Time","1997 November","New Tractors","Number","112"
"Vehicles Licensed for the First Time","1997 November","New Motor Cycles","Number","179"
"Vehicles Licensed for the First Time","1997 November","New Exempt Vehicles","Number","121"
"Vehicles Licensed for the First Time","1997 November","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","115"
"Vehicles Licensed for the First Time","1997 November","Secondhand Vehicles","Number","4395"
"Vehicles Licensed for the First Time","1997 November","Secondhand Private Cars","Number","3380"
"Vehicles Licensed for the First Time","1997 November","Secondhand Goods Vehicles","Number","421"
"Vehicles Licensed for the First Time","1997 November","Secondhand Tractors","Number","256"
"Vehicles Licensed for the First Time","1997 November","Secondhand Other Vehicles","Number","338"
"Vehicles Licensed for the First Time","1997 November","Secondhand Motor Cycles","Number",""
"Vehicles Licensed for the First Time","1997 December","All Vehicles","Number","11349"
"Vehicles Licensed for the First Time","1997 December","New Vehicles","Number","7562"
"Vehicles Licensed for the First Time","1997 December","New Private Cars","Number","6637"
"Vehicles Licensed for the First Time","1997 December","New Goods Vehicles","Number","614"
"Vehicles Licensed for the First Time","1997 December","New Tractors","Number","63"
"Vehicles Licensed for the First Time","1997 December","New Motor Cycles","Number","138"
"Vehicles Licensed for the First Time","1997 December","New Exempt Vehicles","Number","51"
"Vehicles Licensed for the First Time","1997 December","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","59"
"Vehicles Licensed for the First Time","1997 December","Secondhand Vehicles","Number","3787"
"Vehicles Licensed for the First Time","1997 December","Secondhand Private Cars","Number","3008"
"Vehicles Licensed for the First Time","1997 December","Secondhand Goods Vehicles","Number","355"
"Vehicles Licensed for the First Time","1997 December","Secondhand Tractors","Number","202"
"Vehicles Licensed for the First Time","1997 December","Secondhand Other Vehicles","Number","222"
"Vehicles Licensed for the First Time","1997 December","Secondhand Motor Cycles","Number",""
"Vehicles Licensed for the First Time","1998 January","All Vehicles","Number","24484"
"Vehicles Licensed for the First Time","1998 January","New Vehicles","Number","20608"
"Vehicles Licensed for the First Time","1998 January","New Private Cars","Number","17192"
"Vehicles Licensed for the First Time","1998 January","New Goods Vehicles","Number","2518"
"Vehicles Licensed for the First Time","1998 January","New Tractors","Number","219"
"Vehicles Licensed for the First Time","1998 January","New Motor Cycles","Number","268"
"Vehicles Licensed for the First Time","1998 January","New Exempt Vehicles","Number","218"
"Vehicles Licensed for the First Time","1998 January","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","193"
"Vehicles Licensed for the First Time","1998 January","Secondhand Vehicles","Number","3876"
"Vehicles Licensed for the First Time","1998 January","Secondhand Private Cars","Number","2969"
"Vehicles Licensed for the First Time","1998 January","Secondhand Goods Vehicles","Number","386"
"Vehicles Licensed for the First Time","1998 January","Secondhand Tractors","Number","218"
"Vehicles Licensed for the First Time","1998 January","Secondhand Other Vehicles","Number","163"
"Vehicles Licensed for the First Time","1998 January","Secondhand Motor Cycles","Number","140"
"Vehicles Licensed for the First Time","1998 February","All Vehicles","Number","22882"
"Vehicles Licensed for the First Time","1998 February","New Vehicles","Number","18655"
"Vehicles Licensed for the First Time","1998 February","New Private Cars","Number","15480"
"Vehicles Licensed for the First Time","1998 February","New Goods Vehicles","Number","2377"
"Vehicles Licensed for the First Time","1998 February","New Tractors","Number","178"
"Vehicles Licensed for the First Time","1998 February","New Motor Cycles","Number","223"
"Vehicles Licensed for the First Time","1998 February","New Exempt Vehicles","Number","206"
"Vehicles Licensed for the First Time","1998 February","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","191"
"Vehicles Licensed for the First Time","1998 February","Secondhand Vehicles","Number","4227"
"Vehicles Licensed for the First Time","1998 February","Secondhand Private Cars","Number","3244"
"Vehicles Licensed for the First Time","1998 February","Secondhand Goods Vehicles","Number","434"
"Vehicles Licensed for the First Time","1998 February","Secondhand Tractors","Number","233"
"Vehicles Licensed for the First Time","1998 February","Secondhand Other Vehicles","Number","169"
"Vehicles Licensed for the First Time","1998 February","Secondhand Motor Cycles","Number","147"
"Vehicles Licensed for the First Time","1998 March","All Vehicles","Number","22232"
"Vehicles Licensed for the First Time","1998 March","New Vehicles","Number","17987"
"Vehicles Licensed for the First Time","1998 March","New Private Cars","Number","14703"
"Vehicles Licensed for the First Time","1998 March","New Goods Vehicles","Number","2366"
"Vehicles Licensed for the First Time","1998 March","New Tractors","Number","201"
"Vehicles Licensed for the First Time","1998 March","New Motor Cycles","Number","256"
"Vehicles Licensed for the First Time","1998 March","New Exempt Vehicles","Number","211"
"Vehicles Licensed for the First Time","1998 March","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","250"
"Vehicles Licensed for the First Time","1998 March","Secondhand Vehicles","Number","4245"
"Vehicles Licensed for the First Time","1998 March","Secondhand Private Cars","Number","3219"
"Vehicles Licensed for the First Time","1998 March","Secondhand Goods Vehicles","Number","409"
"Vehicles Licensed for the First Time","1998 March","Secondhand Tractors","Number","248"
"Vehicles Licensed for the First Time","1998 March","Secondhand Other Vehicles","Number","172"
"Vehicles Licensed for the First Time","1998 March","Secondhand Motor Cycles","Number","197"
"Vehicles Licensed for the First Time","1998 April","All Vehicles","Number","24567"
"Vehicles Licensed for the First Time","1998 April","New Vehicles","Number","20282"
"Vehicles Licensed for the First Time","1998 April","New Private Cars","Number","16903"
"Vehicles Licensed for the First Time","1998 April","New Goods Vehicles","Number","2507"
"Vehicles Licensed for the First Time","1998 April","New Tractors","Number","207"
"Vehicles Licensed for the First Time","1998 April","New Motor Cycles","Number","258"
"Vehicles Licensed for the First Time","1998 April","New Exempt Vehicles","Number","232"
"Vehicles Licensed for the First Time","1998 April","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","175"
"Vehicles Licensed for the First Time","1998 April","Secondhand Vehicles","Number","4285"
"Vehicles Licensed for the First Time","1998 April","Secondhand Private Cars","Number","3227"
"Vehicles Licensed for the First Time","1998 April","Secondhand Goods Vehicles","Number","407"
"Vehicles Licensed for the First Time","1998 April","Secondhand Tractors","Number","246"
"Vehicles Licensed for the First Time","1998 April","Secondhand Other Vehicles","Number","177"
"Vehicles Licensed for the First Time","1998 April","Secondhand Motor Cycles","Number","228"
"Vehicles Licensed for the First Time","1998 May","All Vehicles","Number","23446"
"Vehicles Licensed for the First Time","1998 May","New Vehicles","Number","19155"
"Vehicles Licensed for the First Time","1998 May","New Private Cars","Number","15921"
"Vehicles Licensed for the First Time","1998 May","New Goods Vehicles","Number","2172"
"Vehicles Licensed for the First Time","1998 May","New Tractors","Number","273"
"Vehicles Licensed for the First Time","1998 May","New Motor Cycles","Number","296"
"Vehicles Licensed for the First Time","1998 May","New Exempt Vehicles","Number","254"
"Vehicles Licensed for the First Time","1998 May","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","239"
"Vehicles Licensed for the First Time","1998 May","Secondhand Vehicles","Number","4291"
"Vehicles Licensed for the First Time","1998 May","Secondhand Private Cars","Number","3179"
"Vehicles Licensed for the First Time","1998 May","Secondhand Goods Vehicles","Number","388"
"Vehicles Licensed for the First Time","1998 May","Secondhand Tractors","Number","302"
"Vehicles Licensed for the First Time","1998 May","Secondhand Other Vehicles","Number","189"
"Vehicles Licensed for the First Time","1998 May","Secondhand Motor Cycles","Number","233"
"Vehicles Licensed for the First Time","1998 June","All Vehicles","Number","20870"
"Vehicles Licensed for the First Time","1998 June","New Vehicles","Number","16440"
"Vehicles Licensed for the First Time","1998 June","New Private Cars","Number","13381"
"Vehicles Licensed for the First Time","1998 June","New Goods Vehicles","Number","2082"
"Vehicles Licensed for the First Time","1998 June","New Tractors","Number","242"
"Vehicles Licensed for the First Time","1998 June","New Motor Cycles","Number","285"
"Vehicles Licensed for the First Time","1998 June","New Exempt Vehicles","Number","212"
"Vehicles Licensed for the First Time","1998 June","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","238"
"Vehicles Licensed for the First Time","1998 June","Secondhand Vehicles","Number","4430"
"Vehicles Licensed for the First Time","1998 June","Secondhand Private Cars","Number","3268"
"Vehicles Licensed for the First Time","1998 June","Secondhand Goods Vehicles","Number","376"
"Vehicles Licensed for the First Time","1998 June","Secondhand Tractors","Number","354"
"Vehicles Licensed for the First Time","1998 June","Secondhand Other Vehicles","Number","194"
"Vehicles Licensed for the First Time","1998 June","Secondhand Motor Cycles","Number","238"
"Vehicles Licensed for the First Time","1998 July","All Vehicles","Number","20838"
"Vehicles Licensed for the First Time","1998 July","New Vehicles","Number","16702"
"Vehicles Licensed for the First Time","1998 July","New Private Cars","Number","13779"
"Vehicles Licensed for the First Time","1998 July","New Goods Vehicles","Number","2011"
"Vehicles Licensed for the First Time","1998 July","New Tractors","Number","209"
"Vehicles Licensed for the First Time","1998 July","New Motor Cycles","Number","283"
"Vehicles Licensed for the First Time","1998 July","New Exempt Vehicles","Number","264"
"Vehicles Licensed for the First Time","1998 July","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","156"
"Vehicles Licensed for the First Time","1998 July","Secondhand Vehicles","Number","4136"
"Vehicles Licensed for the First Time","1998 July","Secondhand Private Cars","Number","3107"
"Vehicles Licensed for the First Time","1998 July","Secondhand Goods Vehicles","Number","354"
"Vehicles Licensed for the First Time","1998 July","Secondhand Tractors","Number","278"
"Vehicles Licensed for the First Time","1998 July","Secondhand Other Vehicles","Number","153"
"Vehicles Licensed for the First Time","1998 July","Secondhand Motor Cycles","Number","244"
"Vehicles Licensed for the First Time","1998 August","All Vehicles","Number","16136"
"Vehicles Licensed for the First Time","1998 August","New Vehicles","Number","11754"
"Vehicles Licensed for the First Time","1998 August","New Private Cars","Number","9127"
"Vehicles Licensed for the First Time","1998 August","New Goods Vehicles","Number","1812"
"Vehicles Licensed for the First Time","1998 August","New Tractors","Number","164"
"Vehicles Licensed for the First Time","1998 August","New Motor Cycles","Number","247"
"Vehicles Licensed for the First Time","1998 August","New Exempt Vehicles","Number","211"
"Vehicles Licensed for the First Time","1998 August","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","193"
